group,feature,value
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,2.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,2.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,9.5
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,9.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,2.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,10.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,10.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,2.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,9.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,3.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,3.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,2.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,9.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,3.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,10.0
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,10.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,9.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,1.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,10.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,1.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,10.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,9.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,3.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,2.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,10.0
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,9.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,5.0
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,10.0
FeatureGuideHumanMimic,burst_density,8.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,4.5
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,7.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,4.0
FeatureGuideHumanMimic,burst_density,2.5
FeatureGuideHumanMimic,burst_density,5.5
FeatureGuideHumanMimic,burst_density,6.0
FeatureGuideHumanMimic,burst_density,3.5
FeatureGuideHumanMimic,burst_density,6.5
FeatureGuideHumanMimic,burst_density,8.0
FeatureGuideHumanMimic,burst_density,7.5
FeatureGuideHumanMimic,burst_density,9.0
